pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.36	3840	431976	112.00
9.60	7.08	3967	449653	113.00
9.30	6.81	4228	479486	113.00
9.00	6.53	4391	502971	114.00
8.70	6.25	4565	527192	115.00
8.40	5.96	4744	554179	116.00
8.10	5.70	5135	599861	116.00
7.80	5.42	5318	630965	118.00
7.50	5.14	5543	665781	120.00
7.20	4.86	5775	699950	121.00
6.90	4.59	6303	766352	121.00
6.60	4.32	6566	811406	123.00
6.30	4.04	6852	860084	125.00
6.00	3.78	7575	955263	126.00
5.70	3.51	7973	1023898	128.00
5.40	3.24	8364	1096730	131.00
5.10	2.96	8752	1173463	134.00
4.80	2.71	9880	1335043	135.00
4.50	2.44	10407	1439848	138.00
4.20	2.17	10954	1557105	142.00
3.90	1.94	12752	1825657	143.00
3.60	1.68	13541	1994984	147.00
3.30	1.41	14323	2184235	152.00
3.00	1.20	17259	2674136	154.00
2.70	0.95	18527	2993353	161.00
2.40	0.69	19814	3337457	168.00
2.10	0.54	27436	4518520	164.00
1.80	0.30	30609	5258074	171.00
1.50	0.06	33711	6057606	179.00
1.20	0.02	77483	11579926	149.00
0.90	0.00	88682	14077449	158.00
0.60	0.00	270372	43113946	159.00
0.30	0.00	277611	51289499	184.00
