Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	42.0	2386947	-0.789
miRNA	0.0	51758	-12.046
ncRNA	28.0	925379	-0.007
TTS	413.0	13492230	0.010
Exon	168.0	15425453	-1.481
Intron	947.0	49637983	-0.673
Intergenic	392.0	36576041	-1.505
Promoter	2095.0	19033253	1.856
5UTR	143.0	1504827	1.644
rRNA	0.0	7664	-12.046
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	42.0	2386947	-0.785
Other	0.0	33922	-12.046
RNA	0.0	13525	-12.046
miRNA	0.0	51758	-12.046
ncRNA	28.0	925379	-0.002
TTS	413.0	13492230	0.014
LINE	24.0	6055896	-2.935
RC	0.0	554	-12.046
DNA	6.0	1386585	-2.808
Exon	168.0	15425453	-1.477
Intron	889.0	41247020	-0.492
Intergenic	340.0	23755817	-1.083
Promoter	2095.0	19033253	1.861
5UTR	143.0	1504827	1.649
Low_complexity	11.0	792954	-1.128
LTR	42.0	10874789	-2.972
Simple_repeat	26.0	905955	-0.079
Unknown	0.0	91752	-12.046
Satellite	1.0	1463755	-5.471
rRNA	0.0	49802	-12.046
