Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	197.0	2387068	-0.552
miRNA	4.0	51758	-0.647
ncRNA	114.0	925379	0.026
TTS	1424.0	13498856	-0.198
Exon	663.0	15458407	-1.496
Intron	3884.0	49840935	-0.635
Intergenic	1603.0	36634353	-1.467
Promoter	8498.0	19039859	1.883
5UTR	475.0	1504852	1.383
rRNA	0.0	7664	-14.041
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	197.0	2387068	-0.547
Other	1.0	33922	-2.032
RNA	0.0	13525	-14.042
miRNA	4.0	51758	-0.642
ncRNA	114.0	925379	0.031
TTS	1424.0	13498856	-0.193
LINE	106.0	6096484	-2.794
RC	0.0	554	-14.042
DNA	22.0	1399719	-2.939
Exon	663.0	15458407	-1.491
Intron	3646.0	41370791	-0.452
Intergenic	1394.0	23808154	-1.042
Promoter	8498.0	19039859	1.888
5UTR	475.0	1504852	1.388
Low_complexity	38.0	801234	-1.346
LTR	163.0	10951629	-3.018
Simple_repeat	113.0	908926	0.044
Unknown	3.0	92061	-1.888
Satellite	2.0	1463755	-6.463
rRNA	0.0	49802	-14.042
