pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.43	586	39346	67.00
9.60	6.16	622	42454	68.00
9.30	5.89	662	45853	69.00
9.00	5.62	713	50107	70.00
8.70	5.35	751	53801	71.00
8.40	5.09	831	59686	71.00
8.10	4.82	886	64333	72.00
7.80	4.56	952	69480	72.00
7.50	4.29	1026	75283	73.00
7.20	4.02	1104	82244	74.00
6.90	3.75	1186	89484	75.00
6.60	3.52	1366	102883	75.00
6.30	3.26	1485	113243	76.00
6.00	3.00	1618	125503	77.00
5.70	2.73	1729	135751	78.00
5.40	2.47	1861	148089	79.00
5.10	2.27	2262	179135	79.00
4.80	2.03	2552	203287	79.00
4.50	1.78	2837	229723	80.00
4.20	1.53	3133	258744	82.00
3.90	1.28	3441	294319	85.00
3.60	1.09	5794	441799	76.00
3.30	1.04	7163	544315	75.00
3.00	0.82	8595	661559	76.00
2.70	0.59	10159	804248	79.00
2.40	0.34	11244	910859	81.00
2.10	0.20	131923	7018437	53.00
1.80	0.20	164561	9137239	55.00
1.50	0.20	185551	10729975	57.00
1.20	0.08	195193	11573540	59.00
0.90	0.00	74665	111119594	1488.00
0.60	0.00	14327	124424541	8684.00
0.30	0.00	270	90225590	334168.00
