pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.08	17	15687	922.00
9.60	5.80	18	15937	885.00
9.30	5.51	19	16435	865.00
9.00	5.22	23	17479	759.00
8.70	4.94	23	17541	762.00
8.40	4.66	24	17819	742.00
8.10	4.38	26	18736	720.00
7.80	4.10	28	19458	694.00
7.50	3.82	30	19988	666.00
7.20	3.55	32	20522	641.00
6.90	3.28	33	21090	639.00
6.60	3.01	35	21958	627.00
6.30	2.75	39	23201	594.00
6.00	2.50	40	23896	597.00
5.70	2.24	42	24960	594.00
5.40	2.01	48	26539	552.00
5.10	1.78	52	27993	538.00
4.80	1.55	64	31279	488.00
4.50	1.34	83	35893	432.00
4.20	1.14	99	40928	413.00
3.90	0.94	118	46280	392.00
3.60	0.77	152	55734	366.00
3.30	0.62	200	69048	345.00
3.00	0.44	298	94739	317.00
2.70	0.30	435	130489	299.00
2.40	0.18	678	195890	288.00
2.10	0.07	1141	320223	280.00
1.80	0.00	2073	570659	275.00
1.50	0.00	3920	1078878	275.00
1.20	0.00	7568	2130504	281.00
0.90	0.00	17662	5187838	293.00
0.60	0.00	34398	10904396	317.00
0.30	0.00	72266	26881384	371.00
