pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.16	2	443	221.00
9.60	4.93	2	444	222.00
9.30	4.68	2	448	224.00
9.00	4.45	2	452	226.00
8.70	4.22	3	684	228.00
8.40	3.97	3	702	234.00
8.10	3.72	3	725	241.00
7.80	3.49	3	744	248.00
7.50	3.26	6	1439	239.00
7.20	3.01	7	1659	237.00
6.90	2.78	11	2528	229.00
6.60	2.54	12	2916	243.00
6.30	2.30	14	3413	243.00
6.00	2.05	15	3803	253.00
5.70	1.81	20	5027	251.00
5.40	1.57	25	6293	251.00
5.10	1.33	26	6708	258.00
4.80	1.11	32	8233	257.00
4.50	0.87	40	10376	259.00
4.20	0.67	50	12989	259.00
3.90	0.46	64	17293	270.00
3.60	0.35	86	22889	266.00
3.30	0.15	110	28955	263.00
3.00	0.04	143	38349	268.00
2.70	0.00	213	56447	265.00
2.40	0.00	308	82903	269.00
2.10	0.00	541	143453	265.00
1.80	0.00	935	247921	265.00
1.50	0.00	1764	469850	266.00
1.20	0.00	5322	1432589	269.00
0.90	0.00	13343	3737955	280.00
0.60	0.00	39107	12036785	307.00
0.30	0.00	81711	29521233	361.00
