pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.99	395	128079	324.00
9.60	6.71	421	136931	325.00
9.30	6.43	441	143499	325.00
9.00	6.16	464	153631	331.00
8.70	5.87	483	160717	332.00
8.40	5.60	508	170510	335.00
8.10	5.32	532	180133	338.00
7.80	5.05	555	188522	339.00
7.50	4.77	591	201710	341.00
7.20	4.49	617	211513	342.00
6.90	4.22	649	224942	346.00
6.60	3.94	685	238576	348.00
6.30	3.67	725	253212	349.00
6.00	3.41	768	273423	356.00
5.70	3.14	839	298620	355.00
5.40	2.87	908	323620	356.00
5.10	2.61	963	347736	361.00
4.80	2.35	1042	378632	363.00
4.50	2.09	1130	413958	366.00
4.20	1.83	1206	446519	370.00
3.90	1.58	1333	496149	372.00
3.60	1.34	1472	551745	374.00
3.30	1.09	1637	616275	376.00
3.00	0.86	1825	690019	378.00
2.70	0.66	2182	824177	377.00
2.40	0.48	2685	1014323	377.00
2.10	0.27	3200	1214299	379.00
1.80	0.11	4232	1589080	375.00
1.50	0.00	6033	2196352	364.00
1.20	0.00	9122	3233734	354.00
0.90	0.00	15427	5341312	346.00
0.60	0.00	30643	10571178	344.00
0.30	0.00	80318	31327654	390.00
