pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.02	15	15512	1034.00
9.60	5.72	16	15753	984.00
9.30	5.43	15	15865	1057.00
9.00	5.14	17	16724	983.00
8.70	4.85	17	16902	994.00
8.40	4.56	18	17175	954.00
8.10	4.27	19	17630	927.00
7.80	3.98	20	18001	900.00
7.50	3.69	20	18036	901.00
7.20	3.40	21	18465	879.00
6.90	3.12	21	18517	881.00
6.60	2.85	22	18774	853.00
6.30	2.58	24	19297	804.00
6.00	2.34	25	19870	794.00
5.70	2.08	26	20527	789.00
5.40	1.86	27	21012	778.00
5.10	1.65	29	21627	745.00
4.80	1.43	32	22515	703.00
4.50	1.30	35	23362	667.00
4.20	1.09	48	26717	556.00
3.90	1.00	63	30545	484.00
3.60	0.81	84	35480	422.00
3.30	0.75	138	48782	353.00
3.00	0.58	217	67351	310.00
2.70	0.52	468	127581	272.00
2.40	0.35	752	196800	261.00
2.10	0.31	1875	473054	252.00
1.80	0.19	4475	1135437	253.00
1.50	0.09	7234	1876760	259.00
1.20	0.05	16816	4536464	269.00
0.90	0.00	36310	10466118	288.00
0.60	0.00	72558	23380694	322.00
0.30	0.00	121795	49053958	402.00
