Elba1_merge2chip_given.bed	Elba2_merge2chip_given.bed	Elba3_merge2chip_given.bed	Insv_merge2chip_given.bed	GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed	Total	Name
X	X	X	X		X			X	X			5	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X		X			X	X		X	1	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X		X			X	X	X	X	1	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X			X	X	X				1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X			X	X	X		X	X	1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X	X	X					74	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X	X	X			X		3	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X	X	X					18	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X		X	X	X	X					9	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X	X	X			X		1	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X	X	X	X					36	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X	X	X	X			X		1	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
	X				X				X	X	X	1	Elba2_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X		X	X			X				5	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
	X	X			X	X						1	Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X	X					596	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X	X				X	2	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X	X			X		3	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X	X			X	X	6	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X			X	X					18	Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X			X	X			X	X	2	Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X		X						1	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X				X	X	X	X			1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X			X	X	X	X			1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X	X	X		X			50	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X	X	X		X	X		1	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X	X	X		X	X	X	1	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
					X	X		X				4	GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
					X	X		X		X	X	1	GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X		X	X	X					2	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X	X	X		X			44	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X		X	X	X	X		X			8	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X	X	X		X	X		3	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X	X	X		X	X	X	5	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X		X	X		X				1	Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X			X			X				2	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X	X	X	X		X			39	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X	X	X	X		X	X		2	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X	X	X	X		X	X	X	2	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X		X			X				3	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X		X	X			X	X			1	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X	X		X			33	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X	X		X		X	2	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X	X		X	X	X	7	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X		X		X	X	X				1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
	X	X	X			X	X					1	Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X			X	X		X			13	Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X			X	X		X		X	1	Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X			X	X		X	X		1	Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X			X	X		X	X	X	4	Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
