pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.33	863	304908	353.00
9.60	7.05	914	325160	355.00
9.30	6.77	965	347712	360.00
9.00	6.50	1010	369502	365.00
8.70	6.23	1060	395284	372.00
8.40	5.95	1110	418969	377.00
8.10	5.67	1181	450711	381.00
7.80	5.40	1244	477956	384.00
7.50	5.13	1320	516368	391.00
7.20	4.85	1365	539613	395.00
6.90	4.58	1460	585649	401.00
6.60	4.30	1536	621277	404.00
6.30	4.04	1651	674411	408.00
6.00	3.76	1732	715330	413.00
5.70	3.49	1834	772773	421.00
5.40	3.22	1937	827179	427.00
5.10	2.95	2034	882630	433.00
4.80	2.69	2191	965698	440.00
4.50	2.42	2333	1036730	444.00
4.20	2.16	2563	1153436	450.00
3.90	1.90	2732	1248515	456.00
3.60	1.64	2980	1386401	465.00
3.30	1.39	3243	1547719	477.00
3.00	1.13	3513	1716503	488.00
2.70	0.88	3937	1953686	496.00
2.40	0.65	4422	2253640	509.00
2.10	0.40	4862	2531981	520.00
1.80	0.18	5695	3040881	533.00
1.50	0.00	6797	3718807	547.00
1.20	0.00	8437	4769734	565.00
0.90	0.00	10857	6440271	593.00
0.60	0.00	16336	9774342	598.00
0.30	0.00	35933	21285313	592.00
