pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.93	4	936	234.00
9.60	4.69	4	985	246.00
9.30	4.43	5	1266	253.00
9.00	4.19	6	1541	256.00
8.70	3.94	8	2139	267.00
8.40	3.71	8	2210	276.00
8.10	3.48	8	2294	286.00
7.80	3.23	9	2525	280.00
7.50	3.01	9	2645	293.00
7.20	2.78	9	2670	296.00
6.90	2.55	9	2764	307.00
6.60	2.34	10	3038	303.00
6.30	2.10	12	3652	304.00
6.00	1.88	14	4251	303.00
5.70	1.65	18	5428	301.00
5.40	1.43	20	6602	330.00
5.10	1.21	25	7836	313.00
4.80	1.00	31	10372	334.00
4.50	0.77	40	12661	316.00
4.20	0.57	50	15865	317.00
3.90	0.37	62	19568	315.00
3.60	0.16	74	23504	317.00
3.30	0.00	99	31679	319.00
3.00	0.00	123	39492	321.00
2.70	0.00	184	57616	313.00
2.40	0.00	276	85893	311.00
2.10	0.00	424	131969	311.00
1.80	0.00	620	195366	315.00
1.50	0.00	1079	341861	316.00
1.20	0.00	1947	630631	323.00
0.90	0.00	3742	1282666	342.00
0.60	0.00	8381	3047739	363.00
0.30	0.00	37757	15056648	398.00
