pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.74	7	1571	224.00
9.60	5.48	7	1602	228.00
9.30	5.23	7	1655	236.00
9.00	4.98	11	2540	230.00
8.70	4.73	12	2771	230.00
8.40	4.48	16	3667	229.00
8.10	4.23	18	4150	230.00
7.80	3.98	23	5309	230.00
7.50	3.73	27	6547	242.00
7.20	3.47	28	6900	246.00
6.90	3.23	32	7939	248.00
6.60	2.98	39	9659	247.00
6.30	2.74	46	11458	249.00
6.00	2.49	61	14892	244.00
5.70	2.24	79	19214	243.00
5.40	2.00	94	23390	248.00
5.10	1.76	116	29053	250.00
4.80	1.51	129	32967	255.00
4.50	1.27	156	40189	257.00
4.20	1.04	190	49596	261.00
3.90	0.80	225	59512	264.00
3.60	0.58	270	72749	269.00
3.30	0.36	326	89323	273.00
3.00	0.14	402	112149	278.00
2.70	0.00	468	134917	288.00
2.40	0.00	587	172087	293.00
2.10	0.00	750	225584	300.00
1.80	0.00	992	306042	308.00
1.50	0.00	1412	446402	316.00
1.20	0.00	2313	741251	320.00
0.90	0.00	4711	1521260	322.00
0.60	0.00	12096	3978565	328.00
0.30	0.00	38593	14272383	369.00
