pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.86	1870	1208445	646.00
9.60	7.57	1896	1236614	652.00
9.30	7.29	1948	1272381	653.00
9.00	7.00	1973	1303487	660.00
8.70	6.71	2018	1337235	662.00
8.40	6.42	2051	1370843	668.00
8.10	6.13	2103	1408932	669.00
7.80	5.85	2162	1452544	671.00
7.50	5.56	2228	1498410	672.00
7.20	5.27	2297	1544035	672.00
6.90	4.99	2362	1594438	675.00
6.60	4.70	2442	1653129	676.00
6.30	4.42	2517	1718322	682.00
6.00	4.14	2598	1778401	684.00
5.70	3.86	2717	1857975	683.00
5.40	3.57	2829	1935481	684.00
5.10	3.29	2923	2010383	687.00
4.80	3.01	3064	2100084	685.00
4.50	2.74	3195	2198688	688.00
4.20	2.46	3362	2314745	688.00
3.90	2.19	3561	2442627	685.00
3.60	1.92	3803	2597853	683.00
3.30	1.65	4077	2769158	679.00
3.00	1.38	4437	2985922	672.00
2.70	1.12	4877	3225177	661.00
2.40	0.87	5430	3538877	651.00
2.10	0.62	6070	3912427	644.00
1.80	0.39	7289	4504184	617.00
1.50	0.18	9191	5377594	585.00
1.20	0.00	11702	6541393	558.00
0.90	0.00	16645	8730371	524.00
0.60	0.00	25184	12647821	502.00
0.30	0.00	44442	21926822	493.00
