pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.50	1132	445389	393.00
9.60	7.21	1178	464385	394.00
9.30	6.94	1263	497152	393.00
9.00	6.66	1316	522261	396.00
8.70	6.38	1382	552529	399.00
8.40	6.10	1465	582957	397.00
8.10	5.82	1551	618593	398.00
7.80	5.55	1625	653403	402.00
7.50	5.27	1728	697691	403.00
7.20	5.00	1829	742016	405.00
6.90	4.72	1936	792148	409.00
6.60	4.45	2048	849035	414.00
6.30	4.18	2176	909295	417.00
6.00	3.90	2274	962705	423.00
5.70	3.63	2448	1039565	424.00
5.40	3.36	2603	1120176	430.00
5.10	3.09	2781	1207360	434.00
4.80	2.82	2955	1301187	440.00
4.50	2.55	3150	1408643	447.00
4.20	2.29	3360	1525739	454.00
3.90	2.02	3613	1667865	461.00
3.60	1.76	3925	1829821	466.00
3.30	1.50	4191	2006110	478.00
3.00	1.24	4587	2240748	488.00
2.70	0.98	4974	2489006	500.00
2.40	0.73	5408	2779609	513.00
2.10	0.49	5919	3151916	532.00
1.80	0.26	6607	3641659	551.00
1.50	0.04	7598	4326707	569.00
1.20	0.00	9197	5313301	577.00
0.90	0.00	12300	6985422	567.00
0.60	0.00	21432	11229075	523.00
0.30	0.00	42244	21795075	515.00
