pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.77	231	69753	301.00
9.60	6.51	253	77260	305.00
9.30	6.25	274	86238	314.00
9.00	6.00	307	97124	316.00
8.70	5.74	336	107309	319.00
8.40	5.46	355	114270	321.00
8.10	5.21	403	130579	324.00
7.80	4.94	438	143223	326.00
7.50	4.70	509	168565	331.00
7.20	4.43	555	183895	331.00
6.90	4.17	608	207374	341.00
6.60	3.91	653	225580	345.00
6.30	3.66	726	255092	351.00
6.00	3.39	783	277252	354.00
5.70	3.14	885	319444	360.00
5.40	2.87	956	348001	364.00
5.10	2.62	1055	392920	372.00
4.80	2.36	1124	424508	377.00
4.50	2.11	1249	485271	388.00
4.20	1.85	1367	539543	394.00
3.90	1.61	1529	615846	402.00
3.60	1.36	1711	702577	410.00
3.30	1.12	1934	805601	416.00
3.00	0.88	2191	935539	426.00
2.70	0.63	2412	1058014	438.00
2.40	0.40	2726	1235477	453.00
2.10	0.17	3200	1470318	459.00
1.80	0.00	3872	1838840	474.00
1.50	0.00	4531	2230910	492.00
1.20	0.00	5915	3026479	511.00
0.90	0.00	8315	4441581	534.00
0.60	0.00	14175	7863983	554.00
0.30	0.00	37398	20390664	545.00
