pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.57	130	39574	304.00
9.60	6.30	143	43428	303.00
9.30	6.03	151	46001	304.00
9.00	5.76	165	50194	304.00
8.70	5.49	175	53886	307.00
8.40	5.21	192	59016	307.00
8.10	4.95	210	65373	311.00
7.80	4.67	217	68055	313.00
7.50	4.41	243	76401	314.00
7.20	4.13	257	80627	313.00
6.90	3.88	280	88761	317.00
6.60	3.60	306	95903	313.00
6.30	3.34	335	105650	315.00
6.00	3.07	359	114553	319.00
5.70	2.81	394	127005	322.00
5.40	2.54	435	140818	323.00
5.10	2.28	483	156587	324.00
4.80	2.03	525	171682	327.00
4.50	1.77	579	190416	328.00
4.20	1.52	634	212237	334.00
3.90	1.26	709	237784	335.00
3.60	1.02	792	268764	339.00
3.30	0.79	915	312957	342.00
3.00	0.56	1016	353188	347.00
2.70	0.34	1193	418833	351.00
2.40	0.16	1454	515962	354.00
2.10	0.00	1712	614546	358.00
1.80	0.00	2144	777141	362.00
1.50	0.00	3037	1086081	357.00
1.20	0.00	5452	1859373	341.00
0.90	0.00	10634	3500775	329.00
0.60	0.00	27309	8962401	328.00
0.30	0.00	75342	28280274	375.00
