pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.86	2526	1146243	453.00
9.60	7.57	2576	1179093	457.00
9.30	7.29	2649	1222070	461.00
9.00	7.00	2729	1266895	464.00
8.70	6.72	2796	1308790	468.00
8.40	6.43	2869	1351260	470.00
8.10	6.15	2974	1402281	471.00
7.80	5.86	3084	1461907	474.00
7.50	5.58	3177	1518615	478.00
7.20	5.30	3293	1580107	479.00
6.90	5.01	3420	1652504	483.00
6.60	4.73	3564	1732190	486.00
6.30	4.45	3716	1813176	487.00
6.00	4.17	3829	1882742	491.00
5.70	3.89	3986	1974634	495.00
5.40	3.61	4152	2075811	499.00
5.10	3.33	4328	2180163	503.00
4.80	3.05	4545	2308956	508.00
4.50	2.78	4743	2440073	514.00
4.20	2.51	4963	2592174	522.00
3.90	2.23	5228	2766620	529.00
3.60	1.96	5581	2977097	533.00
3.30	1.69	5915	3194731	540.00
3.00	1.43	6319	3474120	549.00
2.70	1.17	6760	3773833	558.00
2.40	0.91	7314	4152786	567.00
2.10	0.66	8046	4612131	573.00
1.80	0.41	8983	5210675	580.00
1.50	0.18	10146	5998112	591.00
1.20	0.00	12061	7141506	592.00
0.90	0.00	15339	9048537	589.00
0.60	0.00	21803	12668316	581.00
0.30	0.00	38060	21776584	572.00
