pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.94	347	105882	305.00
9.60	6.67	368	113321	307.00
9.30	6.40	399	123248	308.00
9.00	6.13	418	130893	313.00
8.70	5.86	460	144431	313.00
8.40	5.58	491	155582	316.00
8.10	5.31	524	167526	319.00
7.80	5.04	554	178518	322.00
7.50	4.78	595	193963	325.00
7.20	4.51	635	208457	328.00
6.90	4.24	687	226997	330.00
6.60	3.97	737	245916	333.00
6.30	3.71	812	271758	334.00
6.00	3.44	878	296026	337.00
5.70	3.18	927	318896	344.00
5.40	2.92	1014	351951	347.00
5.10	2.65	1120	391132	349.00
4.80	2.39	1197	425017	355.00
4.50	2.13	1321	473166	358.00
4.20	1.88	1464	529428	361.00
3.90	1.62	1579	582452	368.00
3.60	1.37	1753	655129	373.00
3.30	1.13	1966	742103	377.00
3.00	0.89	2210	847318	383.00
2.70	0.64	2512	974190	387.00
2.40	0.41	2917	1151222	394.00
2.10	0.19	3456	1384997	400.00
1.80	0.00	4105	1680474	409.00
1.50	0.00	5070	2123366	418.00
1.20	0.00	6469	2780014	429.00
0.90	0.00	9308	4071965	437.00
0.60	0.00	14856	6615119	445.00
0.30	0.00	32666	14948537	457.00
