pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.05	24	5455	227.00
9.60	5.79	28	6371	227.00
9.30	5.54	28	6492	231.00
9.00	5.29	31	7327	236.00
8.70	5.03	37	8744	236.00
8.40	4.76	41	9689	236.00
8.10	4.51	47	11189	238.00
7.80	4.25	54	12946	239.00
7.50	4.01	68	16257	239.00
7.20	3.74	79	18928	239.00
6.90	3.48	86	20962	243.00
6.60	3.21	103	25233	244.00
6.30	2.96	122	29984	245.00
6.00	2.70	136	33655	247.00
5.70	2.44	161	40148	249.00
5.40	2.18	179	45125	252.00
5.10	1.93	204	51944	254.00
4.80	1.66	224	57649	257.00
4.50	1.42	269	70173	260.00
4.20	1.16	295	78393	265.00
3.90	0.91	372	98729	265.00
3.60	0.65	418	112816	269.00
3.30	0.41	468	131331	280.00
3.00	0.16	547	156350	285.00
2.70	0.00	607	177920	293.00
2.40	0.00	696	209276	300.00
2.10	0.00	809	251403	310.00
1.80	0.00	986	323598	328.00
1.50	0.00	1174	402069	342.00
1.20	0.00	1615	580049	359.00
0.90	0.00	3165	1122430	354.00
0.60	0.00	14841	4905738	330.00
0.30	0.00	65512	25423012	388.00
