pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.82	14	4429	316.00
9.60	5.55	15	4907	327.00
9.30	5.29	18	5653	314.00
9.00	5.02	25	7380	295.00
8.70	4.76	29	8659	298.00
8.40	4.49	32	9519	297.00
8.10	4.23	33	10106	306.00
7.80	3.96	36	11163	310.00
7.50	3.70	38	11972	315.00
7.20	3.44	39	13055	334.00
6.90	3.18	42	14047	334.00
6.60	2.91	46	15444	335.00
6.30	2.65	52	17269	332.00
6.00	2.39	59	19290	326.00
5.70	2.13	67	21835	325.00
5.40	1.87	76	24223	318.00
5.10	1.63	86	27952	325.00
4.80	1.37	94	30538	324.00
4.50	1.13	102	33406	327.00
4.20	0.88	116	38135	328.00
3.90	0.64	134	43292	323.00
3.60	0.40	166	53269	320.00
3.30	0.19	200	64197	320.00
3.00	0.00	236	75048	318.00
2.70	0.00	278	90346	324.00
2.40	0.00	348	112963	324.00
2.10	0.00	428	138765	324.00
1.80	0.00	633	201233	317.00
1.50	0.00	1210	364802	301.00
1.20	0.00	2109	625556	296.00
0.90	0.00	6135	1775130	289.00
0.60	0.00	20319	6143258	302.00
0.30	0.00	77271	28414860	367.00
