pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.45	1117	420645	376.00
9.60	7.17	1145	436287	381.00
9.30	6.88	1190	454479	381.00
9.00	6.60	1225	470443	384.00
8.70	6.32	1279	497138	388.00
8.40	6.04	1332	522125	391.00
8.10	5.76	1372	543471	396.00
7.80	5.48	1416	566062	399.00
7.50	5.20	1483	598329	403.00
7.20	4.92	1547	624098	403.00
6.90	4.65	1656	670563	404.00
6.60	4.37	1707	700236	410.00
6.30	4.10	1784	740905	415.00
6.00	3.83	1870	780308	417.00
5.70	3.56	2003	840556	419.00
5.40	3.28	2123	895868	421.00
5.10	3.01	2234	948625	424.00
4.80	2.75	2384	1024336	429.00
4.50	2.47	2521	1084006	429.00
4.20	2.22	2732	1181890	432.00
3.90	1.95	2905	1264751	435.00
3.60	1.69	3213	1392969	433.00
3.30	1.44	3546	1546310	436.00
3.00	1.19	3870	1694854	437.00
2.70	0.95	4341	1909690	439.00
2.40	0.72	5178	2265201	437.00
2.10	0.52	6004	2611926	435.00
1.80	0.33	7801	3311338	424.00
1.50	0.16	10421	4350592	417.00
1.20	0.01	15036	6088000	404.00
0.90	0.00	22550	8972104	397.00
0.60	0.00	36567	14417674	394.00
0.30	0.00	63104	26197694	415.00
