pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.59	1465	539267	368.00
9.60	7.31	1520	562439	370.00
9.30	7.03	1581	588204	372.00
9.00	6.75	1638	613409	374.00
8.70	6.46	1695	640138	377.00
8.40	6.18	1757	668138	380.00
8.10	5.90	1828	698822	382.00
7.80	5.62	1922	735035	382.00
7.50	5.34	2025	776280	383.00
7.20	5.06	2097	809972	386.00
6.90	4.79	2207	855739	387.00
6.60	4.51	2307	901964	390.00
6.30	4.23	2430	955164	393.00
6.00	3.96	2566	1015095	395.00
5.70	3.68	2699	1078626	399.00
5.40	3.41	2863	1146985	400.00
5.10	3.14	3025	1219148	403.00
4.80	2.87	3213	1306790	406.00
4.50	2.60	3449	1412106	409.00
4.20	2.33	3674	1519397	413.00
3.90	2.06	3923	1643028	418.00
3.60	1.80	4241	1795482	423.00
3.30	1.54	4605	1974131	428.00
3.00	1.28	5038	2174385	431.00
2.70	1.03	5588	2427785	434.00
2.40	0.78	6149	2707061	440.00
2.10	0.54	7006	3109559	443.00
1.80	0.31	8010	3588935	448.00
1.50	0.09	9600	4314887	449.00
1.20	0.00	11704	5294068	452.00
0.90	0.00	15334	6977373	455.00
0.60	0.00	22983	10389243	452.00
0.30	0.00	38667	18050901	466.00
