pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.92	7	12089	1727.00
9.60	5.63	7	12204	1743.00
9.30	5.34	7	12217	1745.00
9.00	5.05	7	12231	1747.00
8.70	4.75	7	12250	1750.00
8.40	4.46	7	12262	1751.00
8.10	4.18	8	12526	1565.00
7.80	3.89	9	12892	1432.00
7.50	3.61	9	12912	1434.00
7.20	3.33	11	13340	1212.00
6.90	3.06	13	13882	1067.00
6.60	2.80	13	13979	1075.00
6.30	2.55	13	14030	1079.00
6.00	2.30	15	14494	966.00
5.70	2.09	18	15537	863.00
5.40	1.86	20	16012	800.00
5.10	1.64	23	16881	733.00
4.80	1.48	27	17892	662.00
4.50	1.29	29	18449	636.00
4.20	1.17	44	22018	500.00
3.90	0.99	64	26857	419.00
3.60	0.92	113	38944	344.00
3.30	0.71	137	45454	331.00
3.00	0.67	283	81966	289.00
2.70	0.46	582	155684	267.00
2.40	0.42	963	253978	263.00
2.10	0.29	2093	540549	258.00
1.80	0.18	3423	883423	258.00
1.50	0.12	7683	2016007	262.00
1.20	0.01	17279	4709649	272.00
0.90	0.00	34705	10021036	288.00
0.60	0.00	67136	21423710	319.00
0.30	0.00	117536	46236985	393.00
