pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.56	116	28472	245.00
9.60	6.29	126	31085	246.00
9.30	6.02	136	33834	248.00
9.00	5.74	147	36725	249.00
8.70	5.48	165	41447	251.00
8.40	5.20	172	43733	254.00
8.10	4.93	190	48393	254.00
7.80	4.65	216	55032	254.00
7.50	4.39	247	63215	255.00
7.20	4.11	263	67652	257.00
6.90	3.85	294	75993	258.00
6.60	3.57	317	82607	260.00
6.30	3.31	349	92004	263.00
6.00	3.03	380	100971	265.00
5.70	2.76	415	111720	269.00
5.40	2.49	453	123018	271.00
5.10	2.22	495	135532	273.00
4.80	1.96	541	150314	277.00
4.50	1.69	582	163322	280.00
4.20	1.43	630	182000	288.00
3.90	1.16	676	198791	294.00
3.60	0.90	751	224739	299.00
3.30	0.65	826	253429	306.00
3.00	0.40	892	281096	315.00
2.70	0.16	997	322450	323.00
2.40	0.00	1156	386923	334.00
2.10	0.00	1287	443364	344.00
1.80	0.00	1584	560370	353.00
1.50	0.00	2049	747753	364.00
1.20	0.00	3164	1164242	367.00
0.90	0.00	6418	2267844	353.00
0.60	0.00	20508	7003430	341.00
0.30	0.00	61797	24207599	391.00
