pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.41	825	359493	435.00
9.60	7.13	858	376476	438.00
9.30	6.85	905	396087	437.00
9.00	6.58	957	415296	433.00
8.70	6.30	1025	441975	431.00
8.40	6.03	1078	464505	430.00
8.10	5.75	1145	492009	429.00
7.80	5.48	1222	523791	428.00
7.50	5.20	1277	553409	433.00
7.20	4.93	1369	592826	433.00
6.90	4.66	1460	633390	433.00
6.60	4.39	1555	676145	434.00
6.30	4.12	1688	729591	432.00
6.00	3.85	1821	788299	432.00
5.70	3.58	1991	856487	430.00
5.40	3.31	2155	931706	432.00
5.10	3.05	2342	1015890	433.00
4.80	2.78	2511	1099540	437.00
4.50	2.52	2738	1204962	440.00
4.20	2.26	2984	1321638	442.00
3.90	2.00	3261	1447837	443.00
3.60	1.76	3639	1619376	445.00
3.30	1.51	4008	1796715	448.00
3.00	1.27	4502	2029451	450.00
2.70	1.03	5011	2297096	458.00
2.40	0.80	5794	2676053	461.00
2.10	0.58	6863	3159193	460.00
1.80	0.38	8513	3856372	452.00
1.50	0.20	11029	4970755	450.00
1.20	0.02	14708	6474570	440.00
0.90	0.00	23657	10009778	423.00
0.60	0.00	36845	15661340	425.00
0.30	0.00	67846	30595739	450.00
