TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
fly chr67B10-67B10	fly chr67B10-67B10	0.0155883079587605	-4.16123413555761	4	4	0.000685635927322592	5834	16508	326183,39104,39105,39106	CG32037,pall,CG32036,path
fly chr85C3-85C3	fly chr85C3-85C3	0.0155883079587605	-4.16123413555761	4	4	0.000685635927322592	5834	16508	47895,41087,41086,41089	Nmdmc,Rel,hyx,Mst85C
fly chr72E4-72E4	fly chr72E4-72E4	0.0155883079587605	-4.16123413555761	4	4	0.000685635927322592	5834	16508	39819,39820,39825,39821	CG4753,CG4729,CG44836,RAF2
fly chr88F1-88F1	fly chr88F1-88F1	0.0194910499418122	-3.93779989611774	22	13	0.00222831676379842	5834	16508	41866,41870,41869,41864,41859,41867,41872,41868,41873,41857,318709,41860,41863	Trs33,ldlCp,CG5044,Surf4,mRpL9,CG5038,CG6171,Atg4b,CG34404,CG6236,CG42726,FK506-bp1,CG6218
fly chr7B7-7B7	fly chr7B7-7B7	0.0233144302753675	-3.75868278499007	6	5	0.00085704490915324	5834	16508	31680,44978,31681,31682,31684	Hira,Tom40,NELF-B,CG12155,Rab39
fly chr47A7-47A7	fly chr47A7-47A7	0.0233144302753675	-3.75868278499007	6	5	0.00085704490915324	5834	16508	36101,36103,36098,2768725,36099	CG12896,CG12895,Prx2540-2,CG33474,CG11825
fly chr16B10-16B10	fly chr16B10-16B10	0.0233144302753675	-3.75868278499007	6	5	0.00085704490915324	5834	16508	32743,32741,32742,32745,32740	RhoGAPp190,CG8289,CG5800,IntS2,ND-24
fly chr53C9-53C9	fly chr53C9-53C9	0.0233144302753675	-3.75868278499007	6	5	0.00085704490915324	5834	16508	36855,36854,19836065,36857,36856	RpLP2,Cdk4,CR44375,CG8306,CG8311
fly chr29A3-29A3	fly chr29A3-29A3	0.0233144302753675	-3.75868278499007	6	5	0.00085704490915324	5834	16508	34134,34137,34139,34135,34136	wol,Ostgamma,CG7810,Scgalpha,CG7840
fly chr9B1-9B1	fly chr9B1-9B1	0.0233144302753675	-3.75868278499007	6	5	0.00085704490915324	5834	16508	31943,31944,31940,31942,318158	CG2972,CG2974,CG15312,ZAP3,Gr9a
fly chr71C2-71C2	fly chr71C2-71C2	0.0233144302753675	-3.75868278499007	6	5	0.00085704490915324	5834	16508	39662,19835970,39660,39663,39661	CG7255,CR43247,Best4,Toll-6,Best3
fly chr51C5-51C5	fly chr51C5-51C5	0.0265814654512084	-3.62754109361231	8	6	0.00102845389098389	5834	16508	36654,36653,36656,36652,3346177,3346176	Ercc1,SMC2,HPS1,CG10209,CG33506,U3-55K
fly chr71E1-71E1	fly chr71E1-71E1	0.0274612469907083	-3.59497946850409	10	7	0.00119986287281454	5834	16508	39682,39686,39687,39685,39684,39690,39691	CrebA,dop,CG16979,SCCRO,CG7739,AIMP2,CG7656
fly chr61C1-61C1	fly chr61C1-61C1	0.0408700389832766	-3.19735802757042	17	10	0.00171408981830648	5834	16508	38057,38066,38059,14462823,38058,38056,38055,45374,38063,326208	mthl10,CG13891,Ptpmeg,CR43969,mth,mthl9,Atac3,fwd,CG1233,CG32344
fly chr47C3-47C3	fly chr47C3-47C3	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	19836237,36146,19835102	CR45136,LTV1,CR44302
fly chr26B5-26B5	fly chr26B5-26B5	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	33862,33861,19834937	CG9175,Kr-h1,CG45075
fly chr97D11-97D11	fly chr97D11-97D11	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	43242,117338,43241	CG5521,Gr97a,Tsp97E
fly chr90B4-90B4	fly chr90B4-90B4	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	42110,42109,43912	Hmx,Prx3,SF1
fly chr85D18-85D18	fly chr85D18-85D18	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	41137,41136,41135	CG8149,RhoL,phu
fly chr65F7-65F7	fly chr65F7-65F7	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	38820,38821,38819	Sh3beta,akirin,Sec63
fly chr13C3-13C3	fly chr13C3-13C3	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	32471,32472,32470	Ahcy,CG11655,Scamp
fly chr79D4-79D4	fly chr79D4-79D4	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	40462,45785,40461	Hem,IleRS,Srpk79D
