pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.51	1	335	335.00
9.60	4.27	1	335	335.00
9.30	3.98	1	343	343.00
9.00	3.70	1	343	343.00
8.70	3.44	1	361	361.00
8.40	3.17	2	660	330.00
8.10	2.90	2	671	335.00
7.80	2.63	2	675	337.00
7.50	2.35	2	677	338.00
7.20	2.08	2	681	340.00
6.90	1.81	2	687	343.00
6.60	1.55	2	690	345.00
6.30	1.28	2	692	346.00
6.00	1.02	2	696	348.00
5.70	0.77	2	700	350.00
5.40	0.57	2	703	351.00
5.10	0.36	2	707	353.00
4.80	0.14	2	714	357.00
4.50	0.06	4	1207	301.00
4.20	0.00	4	1449	362.00
3.90	0.00	5	1971	394.00
3.60	0.00	4	2141	535.00
3.30	0.00	6	2895	482.00
3.00	0.00	9	3683	409.00
2.70	0.00	20	6438	321.00
2.40	0.00	39	11357	291.00
2.10	0.00	154	39399	255.00
1.80	0.00	408	101377	248.00
1.50	0.00	733	181456	247.00
1.20	0.00	3060	786088	256.00
0.90	0.00	13550	3712566	273.00
0.60	0.00	34837	10342657	296.00
0.30	0.00	86018	31047858	360.00
