Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	105.0	2387068	-0.935
miRNA	1.0	51758	-2.122
ncRNA	58.0	925379	-0.425
TTS	1063.0	13498856	-0.095
Exon	273.0	15458407	-2.252
Intron	2538.0	49840935	-0.724
Intergenic	1159.0	36634353	-1.411
Promoter	6265.0	19039859	1.968
5UTR	261.0	1504852	1.044
rRNA	0.0	7664	-13.517
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	105.0	2387068	-0.930
Other	0.0	33922	-13.517
RNA	0.0	13525	-13.517
miRNA	1.0	51758	-2.117
ncRNA	58.0	925379	-0.420
TTS	1063.0	13498856	-0.090
LINE	52.0	6096484	-3.297
RC	0.0	554	-13.517
DNA	23.0	1399719	-2.351
Exon	273.0	15458407	-2.247
Intron	2385.0	41370791	-0.540
Intergenic	1030.0	23808154	-0.954
Promoter	6265.0	19039859	1.973
5UTR	261.0	1504852	1.049
Low_complexity	27.0	801234	-1.315
LTR	115.0	10951629	-2.997
Simple_repeat	64.0	908926	-0.252
Unknown	0.0	92061	-13.517
Satellite	2.0	1463755	-5.939
rRNA	0.0	49802	-13.517
