pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.79	1568	1033940	659.00
9.60	7.51	1600	1059858	662.00
9.30	7.22	1636	1088084	665.00
9.00	6.93	1661	1117165	672.00
8.70	6.64	1696	1149545	677.00
8.40	6.35	1729	1180285	682.00
8.10	6.07	1784	1218072	682.00
7.80	5.78	1845	1260774	683.00
7.50	5.50	1897	1301390	686.00
7.20	5.21	1950	1341574	687.00
6.90	4.92	1993	1387627	696.00
6.60	4.64	2057	1434037	697.00
6.30	4.36	2122	1488669	701.00
6.00	4.07	2181	1543576	707.00
5.70	3.79	2251	1603279	712.00
5.40	3.51	2349	1674686	712.00
5.10	3.23	2422	1740441	718.00
4.80	2.95	2530	1819646	719.00
4.50	2.67	2668	1911969	716.00
4.20	2.40	2808	2016149	718.00
3.90	2.12	2975	2130885	716.00
3.60	1.85	3166	2260830	714.00
3.30	1.58	3396	2412500	710.00
3.00	1.32	3673	2595223	706.00
2.70	1.06	4047	2812956	695.00
2.40	0.80	4479	3077448	687.00
2.10	0.56	5171	3431025	663.00
1.80	0.32	6029	3896671	646.00
1.50	0.10	7442	4584444	616.00
1.20	0.00	9494	5571910	586.00
0.90	0.00	13513	7356665	544.00
0.60	0.00	21969	11065093	503.00
0.30	0.00	41768	20261277	485.00
