pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.72	187	63412	339.00
9.60	6.45	204	69401	340.00
9.30	6.18	218	74026	339.00
9.00	5.90	231	78827	341.00
8.70	5.62	241	83039	344.00
8.40	5.35	252	87883	348.00
8.10	5.08	274	95869	349.00
7.80	4.80	289	101091	349.00
7.50	4.53	302	105859	350.00
7.20	4.27	335	116864	348.00
6.90	3.99	355	124096	349.00
6.60	3.73	386	135532	351.00
6.30	3.46	407	143522	352.00
6.00	3.21	455	160136	351.00
5.70	2.94	477	167556	351.00
5.40	2.69	530	185344	349.00
5.10	2.43	563	198011	351.00
4.80	2.20	633	222834	352.00
4.50	1.96	691	243327	352.00
4.20	1.73	795	279967	352.00
3.90	1.51	899	318229	353.00
3.60	1.29	1031	366890	355.00
3.30	1.13	1308	458359	350.00
3.00	0.89	1457	511583	351.00
2.70	0.75	2000	681000	340.00
2.40	0.59	2776	917954	330.00
2.10	0.41	3673	1184127	322.00
1.80	0.30	6168	1908612	309.00
1.50	0.15	10667	3228986	302.00
1.20	0.02	15405	4720888	306.00
0.90	0.00	29517	9198882	311.00
0.60	0.00	54448	18081178	332.00
0.30	0.00	110427	44724375	405.00
