pscore	qscore	npeaks	lpeaks	avelpeak
9.90	4.97	2	579	289.00
9.60	4.73	3	805	268.00
9.30	4.48	3	858	286.00
9.00	4.24	3	890	296.00
8.70	4.01	3	1073	357.00
8.40	3.77	3	1082	360.00
8.10	3.53	5	1586	317.00
7.80	3.29	4	1656	414.00
7.50	3.06	4	1847	461.00
7.20	2.81	4	1947	486.00
6.90	2.59	4	1973	493.00
6.60	2.35	4	2009	502.00
6.30	2.13	6	2488	414.00
6.00	1.92	11	3740	340.00
5.70	1.68	12	4194	349.00
5.40	1.48	16	5290	330.00
5.10	1.27	22	6990	317.00
4.80	1.07	26	7994	307.00
4.50	0.88	31	9442	304.00
4.20	0.69	43	12752	296.00
3.90	0.55	54	16204	300.00
3.60	0.41	67	21237	316.00
3.30	0.28	89	27572	309.00
3.00	0.09	133	41060	308.00
2.70	0.00	180	54751	304.00
2.40	0.00	375	107312	286.00
2.10	0.00	722	200359	277.00
1.80	0.00	1245	348139	279.00
1.50	0.00	2293	647360	282.00
1.20	0.00	4363	1256749	288.00
0.90	0.00	14300	4256908	297.00
0.60	0.00	27557	8726170	316.00
0.30	0.00	69973	26239408	374.00
