pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.86	2361	1134229	480.00
9.60	7.58	2436	1172077	481.00
9.30	7.30	2543	1228125	482.00
9.00	7.01	2633	1275202	484.00
8.70	6.73	2721	1325957	487.00
8.40	6.45	2823	1384034	490.00
8.10	6.16	2957	1450801	490.00
7.80	5.88	3069	1515076	493.00
7.50	5.60	3205	1589657	495.00
7.20	5.32	3333	1661643	498.00
6.90	5.04	3465	1737004	501.00
6.60	4.76	3624	1830177	505.00
6.30	4.48	3794	1927904	508.00
6.00	4.20	3977	2025427	509.00
5.70	3.92	4137	2130462	514.00
5.40	3.64	4367	2266295	518.00
5.10	3.36	4541	2383673	524.00
4.80	3.09	4743	2521529	531.00
4.50	2.81	4971	2675323	538.00
4.20	2.54	5206	2846228	546.00
3.90	2.27	5468	3032097	554.00
3.60	2.00	5841	3283365	562.00
3.30	1.73	6149	3522428	572.00
3.00	1.46	6576	3826395	581.00
2.70	1.19	7002	4147627	592.00
2.40	0.93	7435	4507848	606.00
2.10	0.68	8063	4990364	618.00
1.80	0.43	8797	5600702	636.00
1.50	0.19	9936	6412634	645.00
1.20	0.00	11725	7603657	648.00
0.90	0.00	14549	9451283	649.00
0.60	0.00	20770	13161654	633.00
0.30	0.00	34480	21543601	624.00
