Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	27.0	2386181	-0.482
miRNA	0.0	51758	-11.100
ncRNA	26.0	925371	0.830
TTS	258.0	13488051	0.275
Exon	121.0	15424455	-1.011
Intron	533.0	49630789	-0.558
Intergenic	248.0	36425190	-1.215
Promoter	916.0	19027169	1.607
5UTR	66.0	1504814	1.472
rRNA	0.0	7664	-11.100
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	27.0	2386181	-0.480
Other	0.0	33922	-11.100
RNA	0.0	13525	-11.100
miRNA	0.0	51758	-11.100
ncRNA	26.0	925371	0.833
TTS	258.0	13488051	0.278
LINE	8.0	5985574	-3.561
RC	0.0	554	-11.100
DNA	4.0	1367376	-2.431
Exon	121.0	15424455	-1.008
Intron	506.0	41242994	-0.363
Intergenic	211.0	23640208	-0.822
Promoter	916.0	19027169	1.609
5UTR	66.0	1504814	1.475
Low_complexity	1.0	791240	-3.642
LTR	29.0	10730063	-2.545
Simple_repeat	22.0	904741	0.624
Unknown	0.0	91752	-11.100
Satellite	0.0	1463755	-11.100
rRNA	0.0	49802	-11.100
