Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	128.0	2387068	-0.238
miRNA	2.0	51758	-0.710
ncRNA	71.0	925379	0.279
TTS	932.0	13498856	0.127
Exon	504.0	15458407	-0.955
Intron	2412.0	49840935	-0.386
Intergenic	1135.0	36634353	-1.029
Promoter	3417.0	19039859	1.505
5UTR	209.0	1504852	1.135
rRNA	0.0	7664	-13.105
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	128.0	2387068	-0.233
Other	1.0	33922	-1.096
RNA	0.0	13525	-13.105
miRNA	2.0	51758	-0.705
ncRNA	71.0	925379	0.284
TTS	932.0	13498856	0.132
LINE	86.0	6096484	-2.159
RC	0.0	554	-13.105
DNA	20.0	1399719	-2.140
Exon	504.0	15458407	-0.950
Intron	2251.0	41370791	-0.211
Intergenic	945.0	23808154	-0.666
Promoter	3417.0	19039859	1.510
5UTR	209.0	1504852	1.140
Low_complexity	15.0	801234	-1.751
LTR	135.0	10951629	-2.354
Simple_repeat	89.0	908926	0.636
Unknown	2.0	92061	-1.536
Satellite	2.0	1463755	-5.527
rRNA	2.0	49802	-0.650
